BaseMetroCU,7.7,5.9,43
QuimicaDyE,7,6.1,86
TiendaUNAM2,7.1,7.2,47
FacultadCienciasPoliticas,6.9,7.6,91
InvestigacionesJuridicas2,6,7.6,39
MetrobusCU2,3.8,6,31
Campo1,3,5.5,67
JardinBotanico,2.6,6.9,56
Campo2,3.1,6.5,49
InvestigacionBiomedica,3.7,6.4,84
BibliotecaNacional2,4.2,8.2,45
ZonaCultural,4.2,8.9,83
UnidadPosgrado,4.5,10.7,90
PosgradoEconomia,4.4,10.2,28
DGIRE,5.1,9.8,75
DGAPA,5.7,10.1,89
ArchivoGeneral,6.4,10.5,64
IMAN,6.5,11,15
InvestigacionesFilosoficas,6.5,8.7,53
InvestigacionesFilologicas,6.2,8.7,21
CoordinacionHumanidades,5.9,8.7,48
Universum,5.7,9.2,93
Teatro,4.9,9.4,71
MUAC,4.4,8.9,34
BibliotecaNacional1,4.4,8.3,62
EspacioEscultorico,4.8,7.8,29
InvestigacionesJuridicas1,6,7.8,77
TVUNAM,7.3,7.8,60
CUEC,7.3,7.6,35
DGSA,7.3,7.4,54
TiendaUNAM1,7.3,6.9,79
