FacultadQuimica,6,3.6,35
ENALLT,5.6,3.6,72
FacultadIngenieria,5.1,3.6,89
FacultadArquitectura,4.5,3.6,23
Estacionamiento8,3.5,3.5,64
Estacionamiento7,3,3.8,41
RelacionesLaborales,3.5,2,75
DireccionObras,3,1.8,68
AAPAUNAM,2.4,1.8,13
AnexoAdolfo,2.3,2.1,85
Estacionamiento6,2.6,3.3,29
Estacionamiento4,2.6,3,58
Estacionamiento3,2.6,2.7,47
Estacionamiento2,3,2.6,92
BaseEstadio,3.6,2.6,37
Psicologia,4.3,2.4,54
FacultadFilosofia,4.8,2.4,46
FacultadDerecho,5.2,2.4,67
FacultadEconomia,5.6,2.4,32
FacultadOdontologia,6,2.6,81
FacultadMedicina,6.2,3,59
