BaseMetroCU,7.7,5.9,64.0
QuimicaDyE,7.0,6.1,67.0
TiendaUNAM2,7.1,7.2,25.0
FacultadCienciasPoliticas,6.9,7.6,6.0
InvestigacionesJuridicas2,6.0,7.6,7.0
BibliotecaNacional2,4.2,8.2,63.0
ZonaCultural,4.2,8.9,16.0
UnidadPosgrado,4.5,10.7,8.0
PosgradoEconomia,4.4,10.2,25.0
DGIRE,5.1,9.8,37.0
DGAPA,5.7,10.1,12.0
ArchivoGeneral,6.4,10.5,13.0
IMAN,6.5,11.0,6.0
InvestigacionesFilosoficas,6.5,8.7,97.0
InvestigacionesFilologicas,6.2,8.7,12.0
CoordinacionHumanidades,5.9,8.7,59.0
Universum,5.7,9.2,54.0
Teatro,4.9,9.4,61.0
MUAC,4.4,8.9,47.0
BibliotecaNacional1,4.4,8.3,33.0
EspacioEscultorico,4.8,7.8,88.0
InvestigacionesJuridicas1,6.0,7.8,85.0
TVUNAM,7.3,7.8,34.0
CUEC,7.3,7.6,35.0
DGSA,7.3,7.4,70.0
TiendaUNAM1,7.3,6.9,17.0
