BaseMetroCU,7.7,5.9,97.0
CENDI,7.7,4.3,75.0
Psiquiatria,6.6,2.9,52.0
Medicina,6.5,2.2,67.0
Odontologia,6.2,2.1,28.0
Economia,5.6,1.7,74.0
AvUniversidad,5.2,1.6,18.0
Derecho,5.3,2.0,61.0
Filosofia,4.8,2.0,15.0
FacultadPsicologia,4.3,2.0,8.0
Psicologia,4.3,2.4,22.0
FacultadFilosofia,4.8,2.4,52.0
FacultadDerecho,5.2,2.4,49.0
FacultadEconomia,5.6,2.4,45.0
FacultadOdontologia,6.0,2.6,63.0
FacultadMedicina,6.2,3.0,41.0
FacultadVeterinaria,7.3,3.8,70.0
InstitutoGeofisica,7.2,4.5,63.0
QuimicaDyE,7.0,6.1,39.0
