BaseEstadio,3.6,2.6,10.0
Campo1,3.0,5.5,47.0
Pumitas,2.5,5.2,26.0
Pista1,2.5,4.7,44.0
Pista2,2.3,4.7,4.0
JardinBotanico,2.6,6.9,40.0
Campo2,3.1,6.5,31.0
InvestigacionBiomedica,3.7,6.4,98.0
MetrobusCU2,3.8,6.0,57.0
MetrobusCU1,4.1,5.8,34.0
EducacionDistancia,4.7,6.2,95.0
DGTIC,5.3,6.1,48.0
CienciasProfesores,6.1,5.3,26.0
InvestigacionCientifica,6.3,4.9,76.0
CienciasDelMar,6.4,4.5,35.0
Invernadero,6.0,4.4,14.0
AnexoIngenieria,5.9,4.7,34.0
CaminoVerde,5.7,5.2,66.0
FacultadAdministracion,5.2,5.6,52.0
EscuelaTrabajoSocial,4.8,5.5,8.0
BaseMetrobusCU,4.3,5.5,56.0
EstadioPracticas,4.4,5.0,78.0
MUCA,4.2,4.0,14.0
Estacionamiento8,3.5,3.5,16.0
Estacionamiento7,3.0,3.8,29.0
Estacionamiento6,2.6,3.3,54.0
Estacionamiento4,2.6,3.0,61.0
Estacionamiento3,2.6,2.7,86.0
Estacionamiento2,3.0,2.6,94.0
